SampleID	Env	SourceSink	id
WC8Mb	bian	Source	8
WC10Mb	bian	Source	8
WC31Hb	bian	Source	8
WC32Hb	bian	Source	8
WC33Hb	bian	Source	8
W48t22c	chang	Sink	8
WC8Ml	fei	Source	8
WC10Ml	fei	Source	8
WC31Hl	fei	Source	8
WC32Hl	fei	Source	8
WC33Hl	fei	Source	8
WC8Mc	chang	Source	8
WC10Mc	chang	Source	8
WC31Hc	chang	Source	8
WC32Hc	chang	Source	8
WC33Hc	chang	Source	8
