SampleID	Env	SourceSink	id
WC8Mb	bian	Source	15
WC9Mb	bian	Source	15
WC31Hb	bian	Source	15
WC32Hb	bian	Source	15
WC33Hb	bian	Source	15
WC10Mc	chang	Sink	15
WC8Ml	fei	Source	15
WC9Ml	fei	Source	15
WC31Hl	fei	Source	15
WC32Hl	fei	Source	15
WC33Hl	fei	Source	15
WC8Mc	chang	Source	15
WC9Mc	chang	Source	15
WC31Hc	chang	Source	15
WC32Hc	chang	Source	15
WC33Hc	chang	Source	15
