#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu16108,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0
Zotu16109,0,0,4,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,2,2
Zotu1611,0,0,0,0,0,0,0,0,0,33,5,0,9,4,0,0,2,0,0,0,0,0,1,0,32,1,0,7,1,0,0,0,0,6,1,0,3,1,0,2,1,0,6,0,0,8,0,0,0,0,0,4,2,0
Zotu16110,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu16111,0,0,0,0,0,0,0,3,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Zotu16112,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0
Zotu16113,0,0,0,0,6,0,0,0,6,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,3,9,0,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0
Zotu16114,0,0,0,0,1,2,0,0,0,8,1,0,4,1,0,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,5,2,5,0,9,0,0,9,0,0,1,0,13
Zotu16115,0,0,0,0,4,0,0,3,4,0,0,0,0,2,1,0,0,1,0,5,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,2,0,0,0,3
Zotu16116,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu16117,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Zotu16118,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu16119,0,0,1,0,1,9,0,9,3,0,3,3,0,14,0,0,6,46,0,0,5,0,4,1,0,3,2,0,1,67,0,2,55,0,3,0,0,3,5,0,7,4,1,19,91,0,16,0,2,0,36,0,19,6
