SampleID	Env	SourceSink	id
WC8Mb	bian	Source	5
WC9Mb	bian	Source	5
WC10Mb	bian	Source	5
WC31Hb	bian	Source	5
WC33Hb	bian	Source	5
W12t5c	chang	Sink	5
WC8Ml	fei	Source	5
WC9Ml	fei	Source	5
WC10Ml	fei	Source	5
WC31Hl	fei	Source	5
WC33Hl	fei	Source	5
WC8Mc	chang	Source	5
WC9Mc	chang	Source	5
WC10Mc	chang	Source	5
WC31Hc	chang	Source	5
WC33Hc	chang	Source	5
