SampleID	Env	SourceSink	id
WC8Mb	bian	Source	12
WC9Mb	bian	Source	12
WC10Mb	bian	Source	12
WC31Hb	bian	Source	12
WC32Hb	bian	Source	12
W48t26c	chang	Sink	12
WC8Ml	fei	Source	12
WC9Ml	fei	Source	12
WC10Ml	fei	Source	12
WC31Hl	fei	Source	12
WC32Hl	fei	Source	12
WC8Mc	chang	Source	12
WC9Mc	chang	Source	12
WC10Mc	chang	Source	12
WC31Hc	chang	Source	12
WC32Hc	chang	Source	12
