	W12t1c	W12t2c	W12t3c	W12t4c	W12t5c	W12t6c	W48t21c	W48t22c	W48t23c	W48t24c	W48t25c	W48t26c	WC10Mb	WC10Mc	WC10Ml	WC31Hb	WC31Hc	WC31Hl	WC32Hb	WC32Hc	WC32Hl	WC33Hb	WC33Hc	WC33Hl	WC8Mb	WC8Mc	WC8Ml	WC9Mb	WC9Mc	WC9Ml
Zotu5478	5	3	3	7	4	0	1	7	9	1	5	4	0	7	12	0	7	2	1	5	11	0	11	5	0	2	7	0	8	3
Zotu5479	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	0	4	8	0	0	0
Zotu548	0	0	9	12	5	5	0	4	2	7	1	1	15	0	0	16	2	0	15	0	1	13	2	0	20	1	0	22	1	2
Zotu5480	7	7	3	4	1	2	2	0	0	0	0	7	0	1	1	0	1	0	0	2	2	0	2	1	0	3	4	0	3	1
Zotu5481	1	0	5	0	1	1	1	0	0	1	1	4	0	2	4	0	0	23	0	3	1	0	0	0	0	2	0	2	7	1
Zotu5482	1	3	0	2	2	3	1	6	8	7	3	2	9	4	1	0	9	1	52	2	0	2	3	1	0	2	2	2	0	3
Zotu5483	1	4	0	0	3	4	0	1	3	0	1	0	0	3	1	0	1	0	1	0	0	1	2	1	3	4	2	1	0	3
Zotu5484	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	1	2	0	40	0	0	3	1	0	20	0	0	0	0	0
Zotu5485	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	0	0	2	0	0	4	0	0	0	0	0	1	0	0
Zotu5486	9	0	4	3	0	6	1	3	4	3	3	1	0	4	0	0	11	3	0	1	2	0	2	2	0	2	0	0	1	7
Zotu5487	0	4	3	0	7	3	1	1	0	3	0	1	24	3	2	0	0	0	4	1	2	0	0	0	10	0	2	36	0	2
Zotu5488	0	0	0	1	1	1	1	1	0	1	1	0	2	0	0	4	0	0	5	0	0	1	0	0	1	0	0	1	4	0
Zotu5489	0	0	0	2	4	2	2	2	1	2	0	1	19	9	4	0	4	2	60	4	2	0	2	0	0	7	5	0	1	2
Zotu549	20	12	20	16	14	27	52	27	59	36	32	27	1	41	19	0	42	21	2	34	18	1	43	1	0	33	9	0	19	6
Zotu5490	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	2	0	0
Zotu5491	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9
Zotu5492	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Zotu5493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Zotu5494	6	2	4	2	0	3	0	0	2	5	2	4	2	1	5	0	4	4	0	6	2	1	7	7	0	3	5	0	4	5
Zotu5495	0	0	4	0	1	3	0	3	1	4	0	0	0	2	5	0	0	0	0	0	8	0	0	0	1	2	0	2	3	0
Zotu5496	0	0	0	1	13	2	0	2	0	5	0	0	1	2	0	5	1	1	4	2	0	1	0	0	5	0	1	0	0	0
Zotu5497	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu5498	0	10	0	5	2	8	5	1	8	5	0	12	0	6	0	0	4	0	0	5	0	0	6	0	0	5	0	0	2	0
Zotu5499	1	0	0	2	2	3	0	0	3	1	0	0	16	2	0	0	0	0	1	0	0	0	0	0	5	0	0	3	0	0
Zotu55	0	9	5	1	15	4	3	3	2	2	1	1	54	7	0	42	1	0	14	4	1	42	1	0	38	1	0	117	5	1
Zotu550	7	0	0	3	1	3	4	6	5	3	3	0	1	1	4	0	4	11	0	6	14	0	3	17	0	4	3	0	1	8
Zotu5500	5	4	6	0	1	0	6	1	1	1	3	0	1	2	5	0	1	0	0	0	0	1	1	1	0	3	0	0	2	0
Zotu5501	0	0	2	0	5	0	1	0	0	0	0	1	0	0	0	1	0	0	6	0	0	3	0	0	0	0	0	0	0	0
Zotu5502	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	21	0	0	1	0	0	8	0	0	1	0	0	3	0	0
Zotu5503	2	1	0	0	1	4	6	5	2	1	4	3	1	3	1	0	4	4	0	2	1	0	5	2	2	4	5	0	3	0
Zotu5504	4	2	2	0	4	4	10	6	8	4	5	9	0	9	0	0	6	0	0	8	0	1	3	0	0	2	0	0	3	0
Zotu5505	0	5	0	4	3	4	0	1	1	0	3	0	7	2	0	0	1	0	0	2	1	0	0	0	0	4	0	3	5	0
Zotu5506	0	2	0	0	1	0	1	0	0	5	1	3	0	0	6	0	0	0	0	0	0	0	1	6	0	1	14	0	0	3
Zotu5507	1	0	1	1	9	0	0	1	1	0	0	1	22	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	0	0
Zotu5508	0	1	2	1	0	1	0	0	0	4	0	1	1	0	0	6	2	0	0	0	0	47	6	0	0	0	0	21	0	0
Zotu5509	1	6	0	5	0	3	0	1	5	0	4	3	0	3	0	0	1	0	0	4	1	0	3	0	0	4	0	0	1	0
Zotu551	7	3	0	1	0	9	3	3	5	1	2	4	1	6	0	0	7	0	2	8	0	1	1	0	5	6	13	8	6	2
Zotu5510	0	3	1	0	0	0	0	6	1	2	0	0	3	2	0	2	3	2	0	0	3	0	3	0	0	2	1	0	3	4
Zotu5511	3	4	2	1	3	2	4	2	3	0	0	0	0	5	2	0	2	7	0	3	1	0	2	2	2	3	1	0	7	5
Zotu5512	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	2	0	0	4	0	0	6	0	0	1	0	0	3	0	0
Zotu5513	3	8	6	8	5	10	1	2	0	0	1	1	0	4	0	0	4	1	1	6	1	0	5	0	0	6	0	0	6	0
Zotu5514	0	0	1	4	2	1	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Zotu5515	2	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0
Zotu5516	0	1	1	1	2	1	1	1	1	1	7	3	1	1	5	7	0	1	2	3	0	10	0	0	1	0	15	0	1	3
Zotu5517	4	4	0	4	3	0	3	1	6	2	3	7	1	4	6	0	2	6	2	3	3	0	5	9	0	5	2	0	1	2
Zotu5518	3	6	5	6	0	2	1	0	1	0	0	4	0	0	0	0	2	0	0	14	0	1	4	0	0	7	0	0	8	1
Zotu5519	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0
Zotu552	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Zotu5520	0	2	0	0	0	1	0	2	0	1	0	1	6	3	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	1
Zotu5521	2	1	0	0	1	4	7	8	8	7	5	8	6	5	0	8	6	0	2	6	0	2	1	0	3	7	0	4	2	0
Zotu5522	0	0	1	1	0	0	1	0	0	0	2	0	0	1	3	0	0	0	0	0	1	0	0	5	0	0	0	0	0	3
Zotu5523	0	0	1	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5524	0	2	0	2	2	0	1	1	2	0	3	0	5	2	0	9	2	1	21	3	1	39	0	0	10	5	1	7	1	0
Zotu5525	1	3	4	1	3	5	1	1	5	3	2	1	3	3	4	2	2	0	0	2	1	3	5	0	1	3	1	0	0	0
Zotu5526	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7
Zotu5527	0	0	1	2	1	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	8	0	3	0
Zotu5528	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Zotu5529	0	1	1	0	0	0	0	1	2	2	0	3	0	0	0	1	3	1	1	1	1	0	0	3	3	2	0	2	1	5
Zotu553	0	1	1	0	2	2	0	1	1	0	0	1	14	0	0	13	5	0	52	0	0	20	1	0	9	1	0	25	0	1
Zotu5530	7	8	8	6	0	1	1	0	0	0	1	2	0	3	0	0	1	0	0	2	1	0	6	0	0	2	3	0	8	0
Zotu5531	0	0	13	1	0	0	1	1	1	10	0	0	0	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	2	0
Zotu5532	2	0	0	0	0	0	0	1	0	1	0	2	0	0	2	0	0	5	0	0	4	0	0	7	0	0	4	0	0	3
Zotu5533	2	2	2	1	1	4	4	3	7	2	0	2	0	9	1	0	3	0	0	3	4	0	0	0	0	0	0	0	1	10
Zotu5534	5	0	0	2	0	4	6	0	4	0	4	0	0	2	1	0	0	0	4	1	0	0	0	0	0	3	0	1	0	0
Zotu5535	0	1	0	3	0	0	1	0	0	0	3	0	2	1	0	1	0	0	1	0	4	1	0	0	12	0	0	6	0	0
Zotu5536	1	2	0	0	0	0	0	1	0	2	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu5537	3	0	0	3	0	3	0	6	2	0	3	1	0	4	0	0	2	15	0	2	5	0	1	4	0	0	0	4	2	0
Zotu5538	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	2	13	0	0	0	0	2	2	0	0	2	0	0	0
Zotu5539	3	0	4	0	1	2	1	0	5	2	0	4	0	0	0	0	3	3	0	2	0	0	4	4	0	5	5	0	1	0
Zotu554	0	1	0	1	1	3	1	1	3	2	1	1	15	2	1	1	2	0	0	1	2	1	0	0	25	0	0	15	0	4
Zotu5540	12	9	6	2	4	8	6	3	7	3	2	3	2	4	4	6	6	7	5	5	0	8	3	0	4	8	2	1	3	0
Zotu5541	1	2	1	1	0	13	0	0	0	0	0	2	7	2	0	2	0	0	4	0	0	1	0	0	12	1	0	2	0	1
Zotu5542	3	4	2	8	1	1	6	3	3	8	10	2	0	0	10	1	7	11	0	0	11	1	2	2	1	2	1	0	3	8
Zotu5543	4	1	1	0	1	5	4	0	2	0	4	5	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Zotu5544	8	14	7	23	3	5	0	4	10	0	1	5	0	13	1	1	4	0	0	13	4	0	9	0	0	10	0	0	11	0
Zotu5545	6	2	4	5	0	6	1	6	3	5	4	6	0	3	0	0	4	0	0	7	1	0	0	0	0	5	0	0	3	0
Zotu5546	2	5	1	3	2	3	4	1	0	0	6	2	0	1	2	1	3	1	0	0	0	0	2	4	0	4	1	0	7	2
Zotu5547	0	4	1	0	8	1	0	0	0	0	0	0	1	0	0	2	0	0	1	4	0	2	1	0	0	0	0	1	0	1
Zotu5548	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	1	0	0
Zotu5549	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	1	15	0	0	1	0	0	1	0	0
Zotu555	3	1	2	8	2	2	2	1	2	2	3	0	0	1	2	1	2	0	6	0	0	0	1	3	0	0	1	1	0	1
Zotu5550	3	2	0	2	3	8	2	3	8	5	9	3	0	5	2	0	13	0	0	1	6	0	8	0	0	10	4	0	0	1
Zotu5551	0	0	25	0	0	0	0	6	2	8	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	22	0
Zotu5552	0	0	0	3	1	0	1	3	0	0	0	5	0	2	3	7	2	2	2	0	1	9	2	0	0	0	15	0	0	1
Zotu5553	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5554	0	0	0	1	0	1	0	1	0	2	0	1	0	0	11	0	0	0	0	0	0	0	0	2	0	1	7	0	0	0
Zotu5555	1	3	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0
Zotu5556	2	1	2	0	0	0	1	0	4	0	0	1	0	2	0	5	1	0	1	1	0	5	1	0	3	0	5	0	0	8
Zotu5557	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	5
Zotu5558	0	0	0	3	1	3	2	2	2	0	0	0	8	8	0	0	2	1	3	4	0	2	6	0	1	6	0	0	1	0
Zotu5559	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	4	0	0
Zotu556	0	0	0	3	6	0	1	1	1	0	0	0	22	2	0	30	0	0	57	0	0	22	3	0	20	0	0	54	0	1
Zotu5560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu5561	0	0	0	4	0	0	1	1	0	0	1	0	6	0	0	0	1	0	2	0	0	0	1	1	4	0	0	1	0	0
Zotu5562	1	0	0	0	0	0	1	0	1	3	5	0	1	2	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0
Zotu5563	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0
Zotu5564	1	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	6	0	0	0
Zotu5565	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0
Zotu5566	0	0	1	0	0	5	1	0	1	0	1	0	0	0	5	2	1	3	0	0	6	0	0	3	0	1	2	0	0	3
Zotu5567	3	10	0	0	1	5	1	0	1	3	7	2	0	2	0	1	3	0	1	2	1	0	3	1	0	2	0	0	3	0
Zotu5568	0	0	2	6	1	1	0	0	1	5	2	0	0	1	0	5	1	0	0	6	1	10	3	0	0	0	0	0	0	6
