	W12t1c	W12t2c	W12t3c	W12t4c	W12t5c	W12t6c	W48t21c	W48t22c	W48t23c	W48t24c	W48t25c	W48t26c	WC10Mb	WC10Mc	WC10Ml	WC31Hb	WC31Hc	WC31Hl	WC32Hb	WC32Hc	WC32Hl	WC33Hb	WC33Hc	WC33Hl	WC8Mb	WC8Mc	WC8Ml	WC9Mb	WC9Mc	WC9Ml
Zotu1	5	23	7	1	36	23	10	14	12	11	9	9	265	21	1	197	4	3	58	5	0	132	8	1	142	4	2	366	3	3
Zotu10	10	1	16	71	69	5	0	5	1	0	3	4	124	9	1	2	1	0	2	3	1	3	2	0	57	3	2	53	1	0
Zotu100	4	3	3	24	2	3	0	5	7	5	7	4	2	10	3	5	2	8	10	6	1	16	5	6	2	1	8	1	1	7
Zotu1000	1	2	1	3	2	0	2	0	0	2	2	10	1	2	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0
Zotu10000	1	17	0	5	8	3	0	4	3	5	4	1	1	4	0	0	4	0	0	15	0	0	4	0	0	21	0	1	14	0
Zotu10001	0	7	7	8	2	3	20	6	8	10	24	7	3	7	28	8	2	37	2	6	2	5	7	1	1	1	1	3	4	7
Zotu10002	0	2	1	0	4	1	0	0	0	1	1	0	8	1	7	0	2	0	1	2	0	0	0	0	6	0	1	11	0	0
Zotu10003	3	0	0	0	0	5	0	0	0	21	6	0	0	1	20	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0
Zotu10004	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	0
Zotu10005	1	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	2	1	0	0	4	0	1	0	0	0	0	0	0	0
Zotu10006	0	0	2	1	0	1	5	0	6	1	0	4	0	3	5	0	3	0	0	3	15	0	4	4	0	1	3	0	1	0
Zotu10007	3	1	0	2	0	0	5	0	0	1	4	1	0	2	0	0	3	2	0	4	0	0	1	0	0	0	0	0	1	0
Zotu10008	2	0	1	4	0	2	5	2	1	1	5	3	0	1	3	0	1	0	0	0	0	0	0	6	0	1	1	0	1	0
Zotu10009	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Zotu1001	0	0	5	11	1	0	0	0	0	3	0	0	4	2	0	0	1	0	2	0	0	2	0	0	0	0	0	4	3	1
Zotu10010	0	0	0	0	0	0	3	45	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10011	0	0	3	2	0	0	0	0	0	3	0	1	0	4	0	0	1	0	0	0	0	0	0	6	0	1	0	0	0	0
Zotu10012	0	0	7	0	3	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0
Zotu10013	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu10014	0	0	0	0	0	0	0	2	0	0	5	0	0	1	0	0	1	0	0	0	1	1	0	0	0	10	0	0	0	0
Zotu10015	0	0	12	0	0	0	0	9	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
Zotu10016	1	0	6	0	0	2	10	0	7	3	0	1	0	2	3	0	4	0	0	1	2	1	0	0	0	1	0	0	0	0
Zotu10017	1	2	0	4	0	4	8	7	6	10	1	9	0	5	0	0	9	1	0	14	2	2	6	0	0	8	0	0	6	0
Zotu10018	1	0	1	0	1	0	0	3	0	4	0	0	0	0	5	4	0	0	1	0	1	9	1	0	0	0	1	1	1	0
Zotu10019	1	1	5	0	1	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0
Zotu1002	7	2	6	1	5	11	15	27	10	10	6	13	0	13	3	0	15	5	0	9	1	1	5	9	2	15	14	0	6	1
Zotu10020	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	43	0	0	26	0	1	43	16	0	0	0	0	2	20	0
Zotu10021	2	1	1	8	0	6	2	3	3	1	22	4	1	5	0	0	11	0	2	8	0	1	7	17	0	9	1	0	6	1
Zotu10022	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	6	0	0	0	0	0	0	0	0
Zotu10023	0	7	0	0	2	0	1	3	3	4	1	1	0	0	0	0	1	1	0	0	2	0	0	2	1	0	0	0	0	11
Zotu10024	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	1	0	1	0
Zotu10025	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1
Zotu10026	0	8	0	6	4	0	0	2	0	0	6	0	0	5	0	1	0	0	0	11	0	0	1	0	0	8	0	1	0	0
Zotu10027	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
Zotu10028	0	0	0	2	0	1	0	0	0	2	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	8
Zotu10029	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1003	0	0	0	0	23	0	1	0	1	0	0	0	24	2	0	99	0	0	90	0	0	2	3	0	4	0	1	1	0	0
Zotu10030	0	10	2	0	0	2	2	0	2	3	1	7	0	0	4	0	2	0	0	3	4	0	2	0	0	0	8	0	1	0
Zotu10031	8	0	0	0	0	6	0	0	4	0	1	2	0	1	1	0	3	0	0	0	0	1	7	0	0	0	21	0	6	0
Zotu10032	0	13	3	15	8	15	2	4	0	4	27	11	0	29	6	0	12	0	0	0	0	0	11	0	0	7	0	0	12	21
Zotu10033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0
Zotu10034	5	0	3	2	0	6	4	3	3	4	5	2	0	3	7	0	3	7	0	9	0	1	8	13	0	5	0	0	12	0
Zotu10035	0	0	1	1	1	2	0	0	0	2	0	0	2	1	0	3	0	1	2	0	0	0	0	0	3	0	1	2	0	0
Zotu10036	1	0	0	1	0	0	18	1	9	0	1	3	0	0	0	0	0	74	0	9	0	0	0	0	0	0	0	0	0	68
Zotu10037	0	0	1	0	0	4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	1	0	3	1
Zotu10038	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	4
Zotu10039	0	0	0	0	0	0	0	0	1	4	3	3	0	1	0	0	0	5	1	1	0	0	0	0	0	3	9	0	0	0
Zotu1004	32	14	17	13	1	24	26	10	37	19	9	14	0	26	0	1	17	0	0	6	1	0	20	0	1	16	1	0	18	0
Zotu10040	2	1	1	1	0	1	3	0	2	0	0	1	0	1	0	0	0	9	0	1	9	0	1	5	0	5	0	0	2	1
Zotu10041	2	1	0	0	1	0	0	1	2	1	0	4	0	1	1	0	0	1	0	0	0	0	2	1	1	0	4	0	1	2
Zotu10042	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	6	0	0	0
Zotu10043	3	3	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Zotu10044	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	1
Zotu10045	0	1	80	0	0	1	0	22	2	59	0	0	0	0	12	0	3	5	0	0	0	0	1	0	0	0	0	0	11	0
Zotu10046	1	0	0	0	0	3	1	1	0	2	0	2	0	1	2	0	1	3	0	2	1	2	0	0	0	2	0	0	0	2
Zotu10047	0	0	0	0	2	0	0	0	0	0	0	5	1	0	1	2	2	0	0	0	0	0	0	0	1	0	2	54	0	0
Zotu10048	0	0	0	0	1	0	0	0	1	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
Zotu10049	1	0	2	1	0	2	0	1	2	8	3	0	0	3	0	0	1	5	0	3	0	0	3	0	0	3	0	0	6	0
Zotu1005	12	13	14	8	4	9	16	27	6	14	10	23	0	20	7	1	27	7	0	14	6	0	20	9	0	14	3	1	8	4
Zotu10050	0	0	0	2	0	3	7	2	1	2	5	3	0	5	3	0	1	5	2	0	1	0	0	3	0	1	0	0	2	1
Zotu10051	0	0	0	5	2	3	0	1	0	0	1	2	1	0	0	7	0	0	4	0	0	0	0	0	1	0	0	3	0	0
Zotu10052	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	2	2	0	1	0	1	0	0	0	0	4
Zotu10053	0	0	17	0	0	0	0	8	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Zotu10054	0	1	0	3	0	1	0	1	0	0	0	3	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0
Zotu10055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10056	0	1	0	3	0	0	0	4	0	0	0	2	0	2	1	0	2	0	2	0	3	0	1	1	0	1	0	0	0	0
Zotu10057	8	14	9	5	2	5	0	0	0	4	5	10	0	5	0	0	3	0	0	4	0	0	14	3	0	3	0	0	22	0
Zotu10058	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10059	2	16	2	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	0	0	2	0	0	1	0
Zotu1006	3	2	2	2	1	1	1	4	1	4	8	6	11	2	1	13	1	4	36	3	4	62	8	0	6	8	0	53	2	3
Zotu10060	9	7	0	14	5	6	1	1	10	11	1	1	0	10	28	0	9	1	0	11	46	1	0	0	1	3	1	0	5	3
Zotu10061	0	10	0	3	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Zotu10062	3	6	6	5	0	1	0	2	0	2	1	7	0	0	0	0	4	0	0	2	0	0	1	4	0	1	0	0	2	0
Zotu10063	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10064	8	4	0	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10065	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10066	0	0	0	0	0	7	10	0	0	0	1	0	0	0	53	0	0	11	0	0	1	0	0	0	0	0	0	0	0	1
Zotu10067	0	0	16	0	0	1	0	5	1	9	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
Zotu10068	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu10069	6	2	2	0	4	6	0	1	6	0	0	5	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1
Zotu1007	10	10	5	3	2	10	12	6	11	11	12	20	0	6	12	0	11	0	0	8	6	0	2	25	1	20	22	2	8	3
Zotu10070	1	0	0	1	0	0	0	0	0	0	1	1	7	1	0	4	0	0	1	0	0	3	0	0	3	2	0	15	0	1
Zotu10071	1	0	0	0	1	11	0	0	0	0	0	0	1	0	0	4	0	0	8	0	0	1	0	0	3	0	0	1	0	0
Zotu10072	2	1	14	1	2	2	0	0	0	3	2	3	0	2	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0
Zotu10073	7	8	1	9	2	3	1	0	1	0	0	0	0	4	0	0	2	0	0	9	2	0	2	2	0	7	0	0	13	0
Zotu10074	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Zotu10075	0	2	0	0	2	2	0	0	1	0	3	0	1	0	0	1	0	0	0	0	1	1	2	0	4	0	0	1	0	0
Zotu10076	6	7	3	3	2	1	0	0	0	0	2	11	0	4	0	0	2	0	0	6	0	0	1	0	0	8	0	0	6	0
Zotu10077	0	0	0	0	0	0	6	1	0	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu10078	0	3	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
Zotu10079	7	2	1	1	2	1	2	3	1	0	4	1	0	1	0	0	8	0	0	0	1	0	1	3	0	2	8	0	1	4
Zotu1008	0	0	0	1	0	1	13	0	1	1	5	3	0	1	2	0	0	16	0	0	2	0	3	34	0	0	11	0	1	16
Zotu10080	5	14	0	0	2	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10081	0	0	2	0	0	2	1	1	2	1	1	5	0	4	0	0	0	0	0	1	2	0	3	5	0	4	2	0	0	0
Zotu10082	0	1	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0
Zotu10083	0	1	1	9	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	27	0	0	9	0	0	1	0	0	31	0
Zotu10084	6	5	2	5	2	10	7	4	3	9	10	4	0	14	26	0	1	19	1	6	16	0	1	2	0	4	0	0	11	0
Zotu10085	0	0	4	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	3	4	1	0	0	2	1	0	2	9	0
Zotu10086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
Zotu10087	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	1	0	5	1	0	1
Zotu10088	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	5	1	0	0	0	0	4	0	0
Zotu10089	0	0	0	0	0	0	0	0	0	1	0	0	9	0	2	23	0	3	28	0	0	5	0	0	4	0	0	0	0	0
Zotu1009	0	2	0	0	0	1	0	0	0	0	0	1	40	0	0	1	1	0	0	0	0	1	0	0	100	1	0	8	0	0
Zotu10090	0	4	7	17	0	2	3	39	8	1	0	0	1	3	5	0	0	8	2	13	0	4	1	1	0	17	0	1	2	3
Zotu10091	1	1	5	8	16	17	23	5	11	2	12	1	0	2	47	0	17	0	0	0	0	0	1	0	0	0	0	0	10	1
Zotu10092	0	0	0	0	0	0	2	1	0	4	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu10093	10	15	2	1	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	10	0	2	0
Zotu10094	1	0	5	0	0	7	13	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0
Zotu10095	3	0	1	4	3	0	8	1	2	0	1	0	0	1	0	0	0	1	0	2	1	0	2	0	0	1	0	0	1	3
Zotu10096	1	1	1	0	0	1	8	2	5	3	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	6	5
Zotu10097	1	1	3	0	1	0	2	2	3	3	9	0	3	1	3	0	1	2	0	0	2	2	1	2	0	3	5	0	1	2
Zotu10098	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu10099	0	0	0	2	2	1	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0
Zotu101	1	2	1	0	180	3	0	1	9	0	1	1	192	6	0	119	0	0	92	2	0	1	2	1	41	8	0	9	0	0
Zotu1010	21	14	7	10	6	22	35	18	33	12	24	11	0	17	11	0	34	21	1	13	10	0	24	0	0	14	3	1	12	9
Zotu10100	0	1	13	0	0	0	1	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	2	3	0	1	0	0	3	0
Zotu10101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10103	2	1	0	0	0	1	0	2	2	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	1
Zotu10104	0	1	1	2	9	0	0	1	1	0	0	0	2	2	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0
Zotu10105	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zotu10106	0	3	0	0	3	0	0	0	0	0	0	0	8	0	0	16	0	0	37	0	0	17	0	0	3	0	0	1	0	1
Zotu10107	4	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	2	0	0	0	3
Zotu10108	13	0	0	1	22	0	0	4	6	4	13	0	1	6	0	1	3	0	0	2	0	1	1	0	9	0	0	35	1	0
Zotu10109	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1011	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Zotu10110	6	10	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0
Zotu10111	1	5	2	0	0	0	0	0	0	0	5	0	0	2	4	0	2	0	0	1	0	0	0	7	0	0	6	0	0	0
Zotu10112	0	0	2	2	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0
Zotu10113	3	0	0	9	0	1	0	4	2	9	0	6	0	6	0	0	1	0	0	0	1	0	0	0	1	1	0	0	16	0
Zotu10114	0	0	1	2	0	2	0	2	1	1	1	2	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0
Zotu10115	0	3	0	20	3	2	1	12	0	2	4	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10116	0	4	3	0	0	0	0	1	3	0	9	0	0	2	5	0	0	0	0	0	0	0	0	10	0	0	19	0	0	0
Zotu10117	2	4	1	0	2	0	0	1	0	1	4	0	0	1	2	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0
Zotu10118	3	0	1	1	0	2	1	0	0	0	0	1	0	8	0	0	2	1	0	0	2	0	0	2	0	2	0	0	1	3
Zotu10119	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
Zotu1012	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Zotu10120	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
Zotu10121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu10123	10	8	1	7	7	8	10	2	13	3	1	2	0	2	0	0	7	0	0	8	1	1	3	0	2	0	8	0	11	0
Zotu10124	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	7	0	0	1	0	0	1	0	0
Zotu10125	0	0	0	0	1	1	0	1	0	0	0	0	2	0	1	12	0	1	3	0	0	0	1	1	1	0	0	0	0	1
Zotu10126	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10127	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10128	0	0	1	2	15	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0
Zotu10129	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu1013	1	5	5	4	7	1	11	5	9	6	10	2	7	11	0	20	9	1	83	8	2	102	10	2	27	5	1	29	3	2
Zotu10130	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10131	2	0	0	0	1	1	4	2	9	3	4	2	1	5	2	0	1	1	0	2	0	1	5	0	1	1	1	1	1	0
Zotu10132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10134	2	1	6	2	0	4	4	4	6	2	4	6	0	2	5	0	2	3	1	3	9	1	6	0	2	5	6	2	0	3
Zotu10135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	1	0
Zotu10136	0	1	2	1	1	2	1	0	1	0	0	1	0	0	8	0	0	7	0	0	6	0	0	0	0	0	0	0	2	3
Zotu10137	0	0	0	0	5	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10138	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Zotu10139	1	6	1	5	0	0	0	0	0	0	3	11	0	3	0	0	3	0	0	10	0	0	0	0	0	1	0	0	8	0
Zotu1014	0	0	0	6	43	2	0	0	0	0	0	0	79	4	0	0	0	0	0	0	0	1	0	0	35	0	0	0	0	0
Zotu10140	0	0	1	4	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	4
Zotu10141	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	6	0	0	0	0	0	0
Zotu10142	1	0	0	0	1	1	2	3	1	1	2	1	0	0	7	0	3	11	0	1	14	0	2	0	0	0	0	1	3	1
Zotu10143	3	6	0	3	1	4	2	2	0	7	1	5	0	4	0	0	4	0	0	7	0	0	2	0	0	0	0	0	1	0
Zotu10144	4	6	3	3	5	0	0	0	0	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	2	0
Zotu10145	2	1	0	0	0	3	8	1	3	1	14	5	0	0	0	0	0	0	1	1	14	0	0	1	0	3	0	0	0	8
Zotu10146	14	1	1	9	5	0	10	6	3	4	11	0	7	20	1	10	4	2	7	4	2	93	1	0	1	3	0	0	1	0
Zotu10147	2	2	5	6	0	2	0	0	0	0	0	4	0	0	0	0	1	1	0	6	0	0	5	0	0	2	0	0	6	0
Zotu10148	2	2	1	0	2	5	8	3	2	2	5	3	0	3	0	0	6	0	0	4	0	0	4	0	0	5	1	0	5	0
Zotu10149	0	0	0	9	0	0	0	0	1	1	1	0	0	1	0	0	0	4	0	0	1	0	2	0	0	1	0	0	0	0
Zotu1015	0	0	0	20	5	4	1	0	0	1	0	0	0	2	11	0	0	3	3	0	0	0	1	1	0	0	0	0	0	2
Zotu10150	1	1	2	1	0	0	0	2	4	3	0	0	0	4	0	0	5	2	0	0	2	0	2	0	0	0	0	0	1	1
Zotu10151	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	11	0	0	1	0	0	1	0	0	1	0	0	0
Zotu10152	1	1	0	0	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10153	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0
Zotu10154	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
Zotu10155	6	3	1	3	1	2	4	3	4	6	6	1	1	4	0	0	10	0	0	4	0	1	6	0	1	2	0	0	5	0
Zotu10156	0	0	0	2	1	1	1	0	4	0	4	0	0	4	1	0	0	0	0	0	0	0	0	3	0	2	0	0	4	0
Zotu10157	0	1	35	3	3	5	0	32	1	25	15	1	0	8	2	1	9	0	0	0	0	1	0	0	0	0	1	1	24	8
Zotu10158	0	0	0	1	2	1	1	2	3	4	0	0	3	7	4	1	5	47	3	13	2	96	27	1	3	0	23	1	2	2
Zotu10159	0	0	0	0	0	2	1	0	1	1	0	1	0	2	0	0	1	0	0	4	0	0	1	0	0	0	3	0	2	5
Zotu1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10160	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	2	0	0	0	0	0
Zotu10161	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu10162	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	23	2	0	2	0	0	0	1	0
Zotu10163	8	4	4	7	0	3	0	5	2	1	0	6	0	3	0	0	3	0	0	4	0	0	8	0	0	2	0	0	3	0
Zotu10164	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	2	0	0	1	0	0
Zotu10165	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu10166	0	0	0	0	2	0	2	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu10167	4	1	1	1	2	1	1	2	0	2	3	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0
Zotu10168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10169	4	0	3	0	3	1	0	0	0	2	0	0	1	1	3	7	2	0	1	1	1	3	2	0	2	1	0	4	7	0
Zotu1017	0	1	1	5	4	1	1	1	4	1	1	3	43	7	6	6	0	0	0	0	0	0	2	0	4	1	0	1	1	1
Zotu10170	0	6	0	0	1	2	0	2	0	3	1	0	1	1	7	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0
Zotu10171	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0
Zotu10172	0	1	0	24	4	26	27	13	5	0	2	18	0	19	0	0	5	0	1	16	0	0	4	0	0	16	0	0	0	0
Zotu10173	3	1	0	0	0	1	0	0	2	1	1	3	0	3	0	0	1	0	1	2	0	0	3	0	0	0	0	0	0	1
Zotu10174	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	4
Zotu10175	0	0	0	7	3	2	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10176	0	0	1	0	9	1	0	0	2	0	0	0	0	1	0	0	1	0	7	2	0	1	0	0	1	0	1	1	0	0
Zotu10177	4	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Zotu10178	0	2	1	1	1	0	4	1	1	0	0	2	0	0	11	0	0	10	0	1	0	0	2	2	0	1	7	0	0	6
Zotu10179	0	0	0	0	5	1	0	1	0	1	0	3	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0
Zotu1018	1	0	0	0	42	6	1	0	1	0	0	0	1	0	0	0	0	1	0	4	0	0	0	4	16	0	0	0	0	2
Zotu10180	0	0	8	5	4	7	0	0	0	3	0	0	6	0	0	11	0	0	6	0	0	3	0	0	2	1	0	17	1	0
Zotu10181	0	2	0	3	8	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	3	0	0	1	0	0	3	0	0
Zotu10182	4	0	0	0	0	0	0	3	0	2	0	3	0	1	20	0	1	12	0	1	211	0	0	1	0	0	0	0	1	0
