SampleID	Env	SourceSink	id
WC8Mb	bian	Source	11
WC9Mb	bian	Source	11
WC10Mb	bian	Source	11
WC31Hb	bian	Source	11
WC33Hb	bian	Source	11
W48t25c	chang	Sink	11
WC8Ml	fei	Source	11
WC9Ml	fei	Source	11
WC10Ml	fei	Source	11
WC31Hl	fei	Source	11
WC33Hl	fei	Source	11
WC8Mc	chang	Source	11
WC9Mc	chang	Source	11
WC10Mc	chang	Source	11
WC31Hc	chang	Source	11
WC33Hc	chang	Source	11
